PageId,TagName,Tag Content
CAMREW,CAMREW_7,Round off points
CAMREW,CAMREW_6,Reward Points
CAMREW,CAMREW_9,Reward point for products
CAMREW,CAMREW_8,Reward point for services
CAMREW,CAMREW_5,Reward Point
CAMREW,CAMREW_17,Assign
CAMREW,CAMREW_REWARD_POINT_SETTING_UPDATED_SUCCESSFULLY,Reward Point Setting Updated Successfully!
CAMREW,CAMREW_reward_points_understand,"You can provide reward points to your customers for various touch points. For example, when the total purchase goes beyond certain value, you can give 10 reward points to the customer. They can redeem these points in future."
CAMREW,CAMREW_16,Purchase value
CAMREW,CAMREW_15,Reward point for tax
CAMREW,CAMREW_14,Reward point for gift voucher
CAMREW,SERSET_1,Settings
CAMREW,CAMREW_13,Reward point for prepaid
CAMREW,CAMREW_12,Reward point for membership customer
CAMREW,CAMREW_11,Reward point for membership
CAMREW,CAMREW_10,Reward point for packages
CAMREW,CAMREW_e_g_5,e.g. 5
CAMREW,CAMREW_29,Save
CAMREW,CAMREW_28,Provide valid minimum points
CAMREW,CAMREW_e_g_50,e.g. 50
CAMREW,CAMREW_27,Minimum points eligible for redemption
CAMREW,CAMREW_26,Provide valid value
CAMREW,CAMREW_25,Paise
CAMREW,CAMREW_24,Value per point
CAMREW,CAMREW_23,For each Rs.
CAMREW,CAMREW_22,Points
CAMREW,CAMREW_21,Provide valid value and points
CAMREW,CAMREW_20,Points for each
