PageId,TagName,Tag Content
CUSWISH,CUSWISH_10,Type 
CUSWISH,CUSWISH_11,Please choose festival type
CUSWISH,CUSWISH_FEMALE,Female
CUSWISH,CUSWISH_18,Loading…
CUSWISH,CUSWISH_19,No Record
CUSWISH,CUSWISH_16,Gender
CUSWISH,CUSWISH_17,Date
CUSWISH,CUSWISH_6,Period 
CUSWISH,CUSWISH_14,Mobile Number
CUSWISH,CUSWISH_5,Please choose duration 
CUSWISH,CUSWISH_15,Email-ID 
CUSWISH,CUSWISH_4,Duration 
CUSWISH,CUSWISH_12,Search
CUSWISH,CUSWISH_13,Customer Name
CUSWISH,CUSWISH_21,Next
CUSWISH,CUSWISH_22,Choose duration
CUSWISH,CUSWISH_20,Previous
CUSWISH,CUSWISH_29,Anniversary
CUSWISH,CUSWISH_27,Choose type
CUSWISH,CUSWISH_28,Birthday
CUSWISH,CUSWISH_25,Next 30 days
CUSWISH,CUSWISH_26,Custom range
CUSWISH,CUSWISH_23,Next 7 days
CUSWISH,CUSWISH_24,Next 15 days
CUSWISH,CUSWISH_MALE,Male
CUSWISH,CUSWISH_8,To
CUSWISH,CUSWISH_7,Invalid Date
