PageId,TagName,Tag Content
POTSALESET,POTSALESET_Update_Tax_Group,Update Tax Group
POTSALESET,POTSALESET_REASON_FOR_DELETION_UPDATED_SUCCESSFFULY,Reason for deletion updated successfully
POTSALESET,POTSALESET_Custom_Prefix,Custom Prefix
POTSALESET,POTSALESET_Membership_and_package_discounts_are_ful,"Membership and package discounts are fully applied during Quick Sales, even if they exceed the set discount limit."
POTSALESET,POTSALESET_Allow_for_assigning_maximum_discount_lim,Allow for assigning maximum discount limits for selected staff/admin user members.
POTSALESET,SAMPLE_QUANTITY,Qty
POTSALESET,POTSALESET_TAX_DELETED_SUCCESSFULLY,Tax deleted successfully
POTSALESET,POTSALESET_Turn_on_to_assign_maximum_discount_limit,Turn on to assign maximum discount limits for selected roles.
POTSALESET,GSTSETTINGLISTSTATUS,Status
POTSALESET,POTSALESET_Info,Info
POTSALESET,TAXSETTINGENTER,Enter 
POTSALESET,POTSALESET_PAYMENT_MODES,Payment Methods
POTSALESET,POTSALESET_CUSTOM_PREFIX_INVOICE_BILL_NUMBER,Custom Prefix for Invoice/Bill Number
POTSALESET,POTSALESET_Invoice_Receipt_past_dates,Invoice/Receipt for past dates
POTSALESET,POTSALESET_LOGO_PLACEMENT_FOR_A4_BASE,Configure the placement of the logo on the A4 invoice according to your preference
POTSALESET,POTSALESET_tax_amount_excluded_service,The tax amount is excluded from the cost of the saleable item
POTSALESET,POTSALESET_Apply_Priority_Based_Limit,Apply Priority-Based Limit
POTSALESET,POTSALESET_User_Name,User Name
POTSALESET,SAMPLE_CUSTOMER_NAME_LABEL,Cust No
POTSALESET,POTSALESET_Invoice_prefix_Desc,Enter the invoice prefix
POTSALESET,POTSALESET_Role_Level_Discount_Restrictions,Role-Level Discount Restrictions
POTSALESET,SAMPLE_STAFF_NAME,(Alex)
POTSALESET,GSTSETTINGADDNUMBERPH,Enter GST Number
POTSALESET,GSTSETTINGACTIONCONFIRMYES,Yes
POTSALESET,POTSALESET_Deactivate,Deactivate
POTSALESET,POTSALESET_Reset_invoice_sequence_automatically,Reset invoice sequence automatically
POTSALESET,POTSALESET_Enable_User_Level_Limits,Enable User-Level Limits
POTSALESET,POTSALESET_tax_amount_include_excluded_product,Include or exclude tax in the unit price of the product
POTSALESET,POTSALESET_PRICE_INDICATED_FOR_SERVICE_ETC,"The price indicated for services, membership, vouchers, etc are [including/excluding] tax."
POTSALESET,POTSALESET_Add_Reason_for_Deletion,Add Reason for Deletion
POTSALESET,POTSALESET_Location,Location
POTSALESET,POTSALESET_Action,Action
POTSALESET,POTSALESET_Discount_before_tax,Discount before tax
POTSALESET,POTSALESET_Store_restriction_status_updated,Store restriction status updated
POTSALESET,SAMPLE_TOTAL_AMOUNT,Total Amount
POTSALESET,POTSALESET_Maximum_Discount,Maximum Discount
POTSALESET,POTSALESET_Custom_Prefix_Desc,Configure custom prefix on the invoice number
POTSALESET,POTSALESET_FEBRUARY,February
POTSALESET,POTSALESET_JANUARY,January
POTSALESET,POTSALESET_Select,Select
POTSALESET,POTSALESET_TAX_Settings_Info_3_P1,The active 
POTSALESET,POTSALESET_Reasons_for_Invoice_Receipt_Deletion,Reasons for Invoice/Receipt Deletion
POTSALESET,SAMPLE_PRICE_AMOUNT,150.00
POTSALESET,GSTSETTINGLISTACTION,Action
POTSALESET,POTSALESET_All_Product,All product
POTSALESET,POTSALESET_For_example_if_the_limit_is_30_and_the_c,"For example, if the limit is 30% and the client has a 40% membership and package discount, the full 40% will be applied."
POTSALESET,POTSALESET_Info_Tax_Name,Why custom tax name?
POTSALESET,POTSALESET_TAX_Settings_Info_3_P2,number will be displayed on the invoice.
POTSALESET,INVOICE_PREVIEW,Invoice Preview
POTSALESET,POTSALESET_Tax_amount_is_included_from,Tax amount is included from the unit price of any saleable item
POTSALESET,SAMPLE_SERVICE_TOTAL,Service Total
POTSALESET,POTSALESET_User_name,User name
POTSALESET,POTSALESET_MAY,May
POTSALESET,POTSALESET_Print_Configuration,Print Configuration
POTSALESET,POTSALESET_Enter_the_second_line_of_footer_message,Enter the second line of footer message
POTSALESET,POTSALESET_Store_Level_Discount_Limit_Applied,Store-Level Discount Limit Applied
POTSALESET,POTSALESET_Role_Selection,Role Selection
POTSALESET,POTSALESET_tax_amount_included_product,The tax amount is included in the unit price of the product
POTSALESET,POTSALESET_Provide_the_tax_group_name,Provide the tax group name
POTSALESET,POTSALESET_Enter_the_tax_group_name,Enter the tax group name
POTSALESET,POTSALESET_MARCH,March
POTSALESET,GSTSETTINGACTIONADD,Add
POTSALESET,POTSALESET_Invoice_Sequence,Invoice Sequence
POTSALESET,POTSALESET_SELECT,Select
POTSALESET,POTSALESET_Select_atleast_one_location,Select atleast one location
POTSALESET,POTSALESET_Delete,Delete
POTSALESET,SUCCESS,Deleted successfully
POTSALESET,POTSALESET_Enter_the_payment_method,Enter the payment method
POTSALESET,POTSALESET_No_role_has_been_assigned_with_discount,No role has been assigned with discount limit
POTSALESET,POTSALESET_Role_Name,Role Name
POTSALESET,POTSALESET_LOGO_LEFT,Display the logo in the top left corner
